# realtime, hour, min, alt, baseline, rate, SC
44671.462500001 23 06 44.25 86.71 563.93 0.65
44671.463194445 23 07 44.45 86.97 564.58 0.65
44671.463888890 23 08 44.65 87.24 565.23 0.64
44671.464583334 23 09 44.85 87.50 565.88 0.64
44671.465277779 23 10 45.05 87.76 566.58 0.64
44671.465972223 23 11 45.25 88.02 567.39 0.64
44671.466666668 23 12 45.45 88.28 568.21 0.64
44671.467361112 23 13 45.65 88.54 569.02 0.64
44671.468055556 23 14 45.85 88.80 569.84 0.63
44671.468750001 23 15 46.05 89.05 570.61 0.63
44671.469444445 23 16 46.25 89.31 571.27 0.63
44671.470138890 23 17 46.45 89.56 571.92 0.63
44671.470833334 23 18 46.65 89.82 572.57 0.63
44671.471527779 23 19 46.85 90.07 573.22 0.63
44671.472222223 23 20 47.05 90.32 573.87 0.62
44671.472916668 23 21 47.24 90.57 574.52 0.62
44671.473611112 23 22 47.44 90.82 575.17 0.62
44671.474305556 23 23 47.64 91.07 575.82 0.62
44671.475000001 23 24 47.84 91.31 576.47 0.62
44671.475694445 23 25 48.04 91.56 577.12 0.62
44671.476388890 23 26 48.24 91.80 577.77 0.61
44671.477083334 23 27 48.44 92.05 578.42 0.61
44671.477777779 23 28 48.64 92.29 579.07 0.61
44671.478472223 23 29 48.84 92.53 579.72 0.61
44671.479166668 23 30 49.03 92.77 580.34 0.61
44671.479861112 23 31 49.23 93.01 580.83 0.61
44671.480555556 23 32 49.43 93.25 581.32 0.60
44671.481250001 23 33 49.63 93.49 581.80 0.60
44671.481944445 23 34 49.83 93.72 582.29 0.60
44671.482638890 23 35 50.03 93.96 582.79 0.60
44671.483333334 23 36 50.22 94.19 583.44 0.60
44671.484027779 23 37 50.42 94.43 584.09 0.60
44671.484722223 23 38 50.62 94.66 584.74 0.59
44671.485416668 23 39 50.82 94.89 585.38 0.59
44671.486111112 23 40 51.01 95.12 586.02 0.59
44671.486805556 23 41 51.21 95.35 586.50 0.59
44671.487500001 23 42 51.41 95.57 586.99 0.59
44671.488194445 23 43 51.61 95.80 587.47 0.59
44671.488888890 23 44 51.80 96.03 587.95 0.58
44671.489583334 23 45 52.00 96.25 588.44 0.58
44671.490277779 23 46 52.20 96.47 588.92 0.58
44671.490972223 23 47 52.40 96.70 589.40 0.58
44671.491666668 23 48 52.59 96.92 589.89 0.58
44671.492361112 23 49 52.79 97.14 590.37 0.58
44671.493055556 23 50 52.99 97.35 590.85 0.58
44671.493750001 23 51 53.18 97.57 591.33 0.57
44671.494444445 23 52 53.38 97.79 591.81 0.57
44671.495138890 23 53 53.58 98.00 592.29 0.57
44671.495833334 23 54 53.77 98.22 592.78 0.57
44671.496527779 23 55 53.97 98.43 593.26 0.57
44671.497222223 23 56 54.16 98.64 593.74 0.57
44671.497916668 23 57 54.36 98.86 594.22 0.57
44671.498611112 23 58 54.55 99.07 594.69 0.56
44671.499305557 23 59 54.75 99.27 595.17 0.56
44671.500000001 00 00 54.94 99.48 595.65 0.56
44671.500694445 00 01 55.14 99.69 596.13 0.56
44671.501388890 00 02 55.33 99.89 596.61 0.56
44671.502083334 00 03 55.53 100.10 597.09 0.56
44671.502777779 00 04 55.72 100.30 597.56 0.56
44671.503472223 00 05 55.92 100.50 598.04 0.55
44671.504166668 00 06 56.11 100.70 598.42 0.55
44671.504861112 00 07 56.31 100.90 598.74 0.55
44671.505555557 00 08 56.50 101.10 599.06 0.55
44671.506250001 00 09 56.69 101.30 599.37 0.55
44671.506944445 00 10 56.89 101.50 599.69 0.55
44671.507638890 00 11 57.08 101.69 600.07 0.55
44671.508333334 00 12 57.27 101.89 600.54 0.54
44671.509027779 00 13 57.47 102.08 601.02 0.54
44671.509722223 00 14 57.66 102.27 601.49 0.54
44671.510416668 00 15 57.85 102.46 601.96 0.54
44671.511111112 00 16 58.04 102.65 602.40 0.54
44671.511805557 00 17 58.24 102.84 602.71 0.54
44671.512500001 00 18 58.43 103.03 603.02 0.54
44671.513194445 00 19 58.62 103.22 603.34 0.54
44671.513888890 00 20 58.81 103.40 603.65 0.53
44671.514583334 00 21 59.00 103.59 603.96 0.53
44671.515277779 00 22 59.19 103.77 604.43 0.53
44671.515972223 00 23 59.38 103.95 604.90 0.53
44671.516666668 00 24 59.57 104.13 605.36 0.53
44671.517361112 00 25 59.76 104.31 605.83 0.53
44671.518055557 00 26 59.95 104.49 606.29 0.53
44671.518750001 00 27 60.14 104.67 606.64 0.53
44671.519444445 00 28 60.33 104.85 606.95 0.52
44671.520138890 00 29 60.52 105.02 607.26 0.52
44671.520833334 00 30 60.71 105.20 607.57 0.52
44671.521527779 00 31 60.89 105.37 607.87 0.52
44671.522222223 00 32 61.08 105.54 608.18 0.52
44671.522916668 00 33 61.27 105.71 608.49 0.52
44671.523611112 00 34 61.46 105.88 608.79 0.52
44671.524305557 00 35 61.64 106.05 609.10 0.52
44671.525000001 00 36 61.83 106.22 609.40 0.51
44671.525694445 00 37 62.02 106.39 609.71 0.51
44671.526388890 00 38 62.20 106.55 610.01 0.51
44671.527083334 00 39 62.39 106.72 610.31 0.51
44671.527777779 00 40 62.57 106.88 610.61 0.51
44671.528472223 00 41 62.76 107.04 610.92 0.51
44671.529166668 00 42 62.94 107.20 611.22 0.51
44671.529861112 00 43 63.12 107.36 611.52 0.51
44671.530555557 00 44 63.31 107.52 611.82 0.51
44671.531250001 00 45 63.49 107.68 612.11 0.50
44671.531944446 00 46 63.67 107.84 612.41 0.50
44671.532638890 00 47 63.85 107.99 612.71 0.50
44671.533333334 00 48 64.03 108.15 612.98 0.50
44671.534027779 00 49 64.22 108.30 613.13 0.50
44671.534722223 00 50 64.40 108.45 613.27 0.50
44671.535416668 00 51 64.58 108.60 613.42 0.50
44671.536111112 00 52 64.75 108.75 613.57 0.50
44671.536805557 00 53 64.93 108.90 613.71 0.50
44671.537500001 00 54 65.11 109.05 613.95 0.50
44671.538194446 00 55 65.29 109.20 614.24 0.49
44671.538888890 00 56 65.47 109.34 614.53 0.49
44671.539583334 00 57 65.64 109.49 614.82 0.49
44671.540277779 00 58 65.82 109.63 615.11 0.49
44671.540972223 00 59 66.00 109.77 615.39 0.49
44671.541666668 01 00 66.17 109.92 615.68 0.49
44671.542361112 01 01 66.34 110.06 615.96 0.49
44671.543055557 01 02 66.52 110.20 616.25 0.49
44671.543750001 01 03 66.69 110.33 616.53 0.49
44671.544444446 01 04 66.86 110.47 616.81 0.49
44671.545138890 01 05 67.03 110.61 617.06 0.48
44671.545833334 01 06 67.20 110.74 617.20 0.48
44671.546527779 01 07 67.37 110.88 617.34 0.48
44671.547222223 01 08 67.54 111.01 617.48 0.48
44671.547916668 01 09 67.71 111.14 617.62 0.48
44671.548611112 01 10 67.88 111.27 617.76 0.48
44671.549305557 01 11 68.05 111.40 617.93 0.48
44671.550000001 01 12 68.21 111.53 618.20 0.48
44671.550694446 01 13 68.38 111.66 618.47 0.48
44671.551388890 01 14 68.54 111.78 618.74 0.48
44671.552083334 01 15 68.71 111.91 619.01 0.48
44671.552777779 01 16 68.87 112.03 619.27 0.48
44671.553472223 01 17 69.03 112.15 619.51 0.47
44671.554166668 01 18 69.19 112.28 619.64 0.47
44671.554861112 01 19 69.35 112.40 619.78 0.47
44671.555555557 01 20 69.51 112.52 619.91 0.47
44671.556250001 01 21 69.67 112.64 620.03 0.47
44671.556944446 01 22 69.83 112.75 620.16 0.47
44671.557638890 01 23 69.98 112.87 620.29 0.47
44671.558333334 01 24 70.14 112.99 620.42 0.47
44671.559027779 01 25 70.29 113.10 620.54 0.47
44671.559722223 01 26 70.44 113.21 620.67 0.47
44671.560416668 01 27 70.59 113.33 620.79 0.47
44671.561111112 01 28 70.74 113.44 620.91 0.47
44671.561805557 01 29 70.89 113.55 621.03 0.46
44671.562500001 01 30 71.04 113.66 621.19 0.46
44671.563194446 01 31 71.18 113.77 621.42 0.46
44671.563888890 01 32 71.33 113.87 621.66 0.46
44671.564583334 01 33 71.47 113.98 621.90 0.46
44671.565277779 01 34 71.61 114.09 622.13 0.46
44671.565972223 01 35 71.76 114.19 622.36 0.46
44671.566666668 01 36 71.89 114.29 622.58 0.46
44671.567361112 01 37 72.03 114.40 622.78 0.46
44671.568055557 01 38 72.17 114.50 622.89 0.46
44671.568750001 01 39 72.30 114.60 623.00 0.46
44671.569444446 01 40 72.44 114.70 623.11 0.46
44671.570138890 01 41 72.57 114.80 623.22 0.46
44671.570833335 01 42 72.70 114.89 623.33 0.46
44671.571527779 01 43 72.83 114.99 623.43 0.46
44671.572222223 01 44 72.95 115.08 623.53 0.45
44671.572916668 01 45 73.08 115.18 623.64 0.45
44671.573611112 01 46 73.20 115.27 623.74 0.45
44671.574305557 01 47 73.32 115.36 623.84 0.45
44671.575000001 01 48 73.44 115.45 623.93 0.45
44671.575694446 01 49 73.56 115.54 624.03 0.45
44671.576388890 01 50 73.67 115.63 624.12 0.45
44671.577083335 01 51 73.78 115.72 624.21 0.45
44671.577777779 01 52 73.89 115.81 624.30 0.45
44671.578472223 01 53 74.00 115.90 624.39 0.45
44671.579166668 01 54 74.11 115.98 624.48 0.45
44671.579861112 01 55 74.21 116.07 624.57 0.45
44671.580555557 01 56 74.32 116.15 624.65 0.45
44671.581250001 01 57 74.42 116.23 624.73 0.45
44671.581944446 01 58 74.51 116.31 624.81 0.45
44671.582638890 01 59 74.61 116.39 624.89 0.45
44671.583333335 02 00 74.70 116.47 624.96 0.45
44671.584027779 02 01 74.79 116.55 625.04 0.44
44671.584722223 02 02 74.88 116.63 625.11 0.44
44671.585416668 02 03 74.96 116.71 625.18 0.44
44671.586111112 02 04 75.04 116.78 625.25 0.44
44671.586805557 02 05 75.12 116.86 625.31 0.44
44671.587500001 02 06 75.20 116.93 625.37 0.44
44671.588194446 02 07 75.28 117.00 625.43 0.44
44671.588888890 02 08 75.35 117.07 625.49 0.44
44671.589583335 02 09 75.42 117.15 625.55 0.44
44671.590277779 02 10 75.48 117.22 625.60 0.44
44671.590972223 02 11 75.54 117.28 625.65 0.44
44671.591666668 02 12 75.60 117.35 625.70 0.44
44671.592361112 02 13 75.66 117.42 625.75 0.44
44671.593055557 02 14 75.71 117.49 625.79 0.44
44671.593750001 02 15 75.77 117.55 625.83 0.44
44671.594444446 02 16 75.81 117.62 625.87 0.44
44671.595138890 02 17 75.86 117.68 625.91 0.44
44671.595833335 02 18 75.90 117.74 625.94 0.44
44671.596527779 02 19 75.94 117.81 625.97 0.44
44671.597222223 02 20 75.97 117.87 626.00 0.44
44671.597916668 02 21 76.00 117.93 626.03 0.44
44671.598611112 02 22 76.03 117.99 626.05 0.44
44671.599305557 02 23 76.06 118.04 626.07 0.43
44671.600000001 02 24 76.08 118.10 626.09 0.43
44671.600694446 02 25 76.10 118.16 626.11 0.43
44671.601388890 02 26 76.11 118.21 626.12 0.43
44671.602083335 02 27 76.13 118.27 626.13 0.43
44671.602777779 02 28 76.13 118.32 626.14 0.43
44671.603472224 02 29 76.14 118.38 626.14 0.43
44671.604166668 02 30 76.14 118.43 626.14 0.43
44671.604861112 02 31 76.14 118.48 626.14 0.43
44671.605555557 02 32 76.13 118.53 626.14 0.43
44671.606250001 02 33 76.13 118.58 626.13 0.43
44671.606944446 02 34 76.12 118.63 626.12 0.43
44671.607638890 02 35 76.10 118.68 626.11 0.43
44671.608333335 02 36 76.08 118.72 626.09 0.43
44671.609027779 02 37 76.06 118.77 626.08 0.43
44671.609722224 02 38 76.04 118.82 626.06 0.43
44671.610416668 02 39 76.01 118.86 626.03 0.43
44671.611111112 02 40 75.98 118.90 626.01 0.43
44671.611805557 02 41 75.94 118.95 625.98 0.43
44671.612500001 02 42 75.90 118.99 625.95 0.43
44671.613194446 02 43 75.86 119.03 625.91 0.43
44671.613888890 02 44 75.82 119.07 625.88 0.43
44671.614583335 02 45 75.77 119.11 625.84 0.43
44671.615277779 02 46 75.72 119.15 625.80 0.43
44671.615972224 02 47 75.67 119.19 625.76 0.43
44671.616666668 02 48 75.61 119.23 625.71 0.43
44671.617361112 02 49 75.55 119.26 625.66 0.43
44671.618055557 02 50 75.49 119.30 625.61 0.43
44671.618750001 02 51 75.43 119.34 625.56 0.43
44671.619444446 02 52 75.36 119.37 625.50 0.43
44671.620138890 02 53 75.29 119.40 625.44 0.43
44671.620833335 02 54 75.21 119.44 625.38 0.43
44671.621527779 02 55 75.14 119.47 625.32 0.43
44671.622222224 02 56 75.06 119.50 625.26 0.43
44671.622916668 02 57 74.97 119.53 625.19 0.42
44671.623611112 02 58 74.89 119.56 625.12 0.42
44671.624305557 02 59 74.80 119.59 625.05 0.42
44671.625000001 03 00 74.71 119.62 624.97 0.42
44671.625694446 03 01 74.62 119.65 624.90 0.42
44671.626388890 03 02 74.53 119.68 624.82 0.42
44671.627083335 03 03 74.43 119.70 624.74 0.42
44671.627777779 03 04 74.33 119.73 624.66 0.42
44671.628472224 03 05 74.23 119.75 624.58 0.42
44671.629166668 03 06 74.12 119.78 624.49 0.42
