# realtime, hour, min, alt, baseline, rate, SC
44669.639583335 03 21 73.32 119.93 623.84 0.42
44669.640277779 03 22 73.20 119.95 623.74 0.42
44669.640972224 03 23 73.08 119.97 623.64 0.42
44669.641666668 03 24 72.95 119.99 623.54 0.42
44669.642361113 03 25 72.83 120.00 623.43 0.42
44669.643055557 03 26 72.70 120.02 623.33 0.42
44669.643750001 03 27 72.57 120.03 623.22 0.42
44669.644444446 03 28 72.44 120.05 623.11 0.42
44669.645138890 03 29 72.30 120.06 623.01 0.42
44669.645833335 03 30 72.17 120.08 622.90 0.42
44669.646527779 03 31 72.03 120.09 622.78 0.42
44669.647222224 03 32 71.90 120.10 622.59 0.42
44669.647916668 03 33 71.76 120.12 622.36 0.42
44669.648611113 03 34 71.62 120.13 622.13 0.42
44669.649305557 03 35 71.47 120.14 621.90 0.42
44669.650000001 03 36 71.33 120.15 621.66 0.42
44669.650694446 03 37 71.19 120.16 621.43 0.42
44669.651388890 03 38 71.04 120.17 621.19 0.42
44669.652083335 03 39 70.89 120.17 621.03 0.42
44669.652777779 03 40 70.74 120.18 620.91 0.42
44669.653472224 03 41 70.59 120.19 620.79 0.42
44669.654166668 03 42 70.44 120.20 620.67 0.42
44669.654861113 03 43 70.29 120.20 620.54 0.42
44669.655555557 03 44 70.14 120.21 620.42 0.42
44669.656250001 03 45 69.98 120.21 620.29 0.42
44669.656944446 03 46 69.83 120.22 620.16 0.42
44669.657638890 03 47 69.67 120.22 620.04 0.42
44669.658333335 03 48 69.51 120.23 619.91 0.42
44669.659027779 03 49 69.35 120.23 619.78 0.42
44669.659722224 03 50 69.19 120.23 619.65 0.42
44669.660416668 03 51 69.03 120.23 619.51 0.42
44669.661111113 03 52 68.87 120.24 619.28 0.42
44669.661805557 03 53 68.71 120.24 619.01 0.42
44669.662500001 03 54 68.54 120.24 618.74 0.42
44669.663194446 03 55 68.38 120.24 618.48 0.42
44669.663888890 03 56 68.22 120.24 618.21 0.42
44669.664583335 03 57 68.05 120.24 617.93 0.42
44669.665277779 03 58 67.88 120.23 617.76 0.42
44669.665972224 03 59 67.71 120.23 617.62 0.42
44669.666666668 04 00 67.55 120.23 617.48 0.42
44669.667361113 04 01 67.38 120.23 617.34 0.42
44669.668055557 04 02 67.21 120.22 617.20 0.42
44669.668750002 04 03 67.04 120.22 617.07 0.42
44669.669444446 04 04 66.86 120.22 616.81 0.42
44669.670138890 04 05 66.69 120.21 616.53 0.42
44669.670833335 04 06 66.52 120.21 616.25 0.42
44669.671527779 04 07 66.35 120.20 615.97 0.42
44669.672222224 04 08 66.17 120.20 615.68 0.42
44669.672916668 04 09 66.00 120.19 615.40 0.42
44669.673611113 04 10 65.82 120.18 615.11 0.42
44669.674305557 04 11 65.65 120.18 614.82 0.42
44669.675000002 04 12 65.47 120.17 614.53 0.42
44669.675694446 04 13 65.29 120.16 614.24 0.42
44669.676388890 04 14 65.11 120.15 613.95 0.42
44669.677083335 04 15 64.94 120.14 613.71 0.42
44669.677777779 04 16 64.76 120.14 613.57 0.42
44669.678472224 04 17 64.58 120.13 613.42 0.42
44669.679166668 04 18 64.40 120.12 613.27 0.42
44669.679861113 04 19 64.22 120.11 613.13 0.42
44669.680555557 04 20 64.04 120.10 612.98 0.42
44669.681250002 04 21 63.85 120.09 612.71 0.42
44669.681944446 04 22 63.67 120.07 612.42 0.42
44669.682638890 04 23 63.49 120.06 612.12 0.42
44669.683333335 04 24 63.31 120.05 611.82 0.42
44669.684027779 04 25 63.12 120.04 611.52 0.42
44669.684722224 04 26 62.94 120.03 611.22 0.42
44669.685416668 04 27 62.76 120.02 610.92 0.42
44669.686111113 04 28 62.57 120.00 610.62 0.42
