# realtime, hour, min, alt, baseline, rate, SC
44668.545138890 01 05 49.56 99.99 322.59 0.35
44668.545833334 01 06 49.79 100.20 322.89 0.35
44668.546527779 01 07 50.01 100.42 323.20 0.35
44668.547222223 01 08 50.23 100.64 323.61 0.34
44668.547916668 01 09 50.46 100.85 324.01 0.34
44668.548611112 01 10 50.68 101.07 324.42 0.34
44668.549305557 01 11 50.90 101.28 324.83 0.34
44668.550000001 01 12 51.13 101.49 325.17 0.34
44668.550694446 01 13 51.35 101.70 325.48 0.33
44668.551388890 01 14 51.58 101.91 325.78 0.33
44668.552083334 01 15 51.80 102.12 326.09 0.33
44668.552777779 01 16 52.02 102.33 326.39 0.33
44668.553472223 01 17 52.25 102.54 326.70 0.33
44668.554166668 01 18 52.47 102.74 327.00 0.33
44668.554861112 01 19 52.70 102.94 327.31 0.32
44668.555555557 01 20 52.92 103.15 327.61 0.32
44668.556250001 01 21 53.14 103.35 327.92 0.32
44668.556944446 01 22 53.37 103.55 328.22 0.32
44668.557638890 01 23 53.59 103.75 328.53 0.32
44668.558333334 01 24 53.82 103.95 328.83 0.32
44668.559027779 01 25 54.04 104.14 329.14 0.32
44668.559722223 01 26 54.27 104.34 329.44 0.31
44668.560416668 01 27 54.49 104.53 329.75 0.31
44668.561111112 01 28 54.71 104.73 330.05 0.31
44668.561805557 01 29 54.94 104.92 330.36 0.31
44668.562500001 01 30 55.16 105.11 330.66 0.31
44668.563194446 01 31 55.39 105.30 330.97 0.31
44668.563888890 01 32 55.61 105.49 331.27 0.30
44668.564583334 01 33 55.84 105.67 331.58 0.30
44668.565277779 01 34 56.06 105.86 331.85 0.30
44668.565972223 01 35 56.29 106.04 332.06 0.30
44668.566666668 01 36 56.51 106.23 332.26 0.30
44668.567361112 01 37 56.74 106.41 332.47 0.30
44668.568055557 01 38 56.96 106.59 332.67 0.30
44668.568750001 01 39 57.18 106.77 332.96 0.30
44668.569444446 01 40 57.41 106.95 333.26 0.29
44668.570138890 01 41 57.63 107.12 333.57 0.29
44668.570833335 01 42 57.86 107.30 333.87 0.29
44668.571527779 01 43 58.08 107.48 334.14 0.29
44668.572222223 01 44 58.31 107.65 334.34 0.29
44668.572916668 01 45 58.53 107.82 334.55 0.29
44668.573611112 01 46 58.76 107.99 334.75 0.29
44668.574305557 01 47 58.98 108.16 334.95 0.28
44668.575000001 01 48 59.21 108.33 335.25 0.28
44668.575694446 01 49 59.43 108.50 335.56 0.28
44668.576388890 01 50 59.66 108.67 335.86 0.28
44668.577083335 01 51 59.88 108.83 336.17 0.28
44668.577777779 01 52 60.11 108.99 336.43 0.28
44668.578472223 01 53 60.33 109.16 336.63 0.28
44668.579166668 01 54 60.55 109.32 336.83 0.28
44668.579861112 01 55 60.78 109.48 337.04 0.27
44668.580555557 01 56 61.00 109.64 337.24 0.27
44668.581250001 01 57 61.23 109.79 337.45 0.27
44668.581944446 01 58 61.45 109.95 337.65 0.27
44668.582638890 01 59 61.68 110.11 337.85 0.27
44668.583333335 02 00 61.90 110.26 338.06 0.27
44668.584027779 02 01 62.13 110.41 338.26 0.27
44668.584722223 02 02 62.35 110.56 338.46 0.27
44668.585416668 02 03 62.58 110.72 338.67 0.27
44668.586111112 02 04 62.80 110.86 338.87 0.26
44668.586805557 02 05 63.03 111.01 339.08 0.26
44668.587500001 02 06 63.25 111.16 339.28 0.26
44668.588194446 02 07 63.48 111.30 339.48 0.26
44668.588888890 02 08 63.70 111.45 339.69 0.26
44668.589583335 02 09 63.93 111.59 339.89 0.26
44668.590277779 02 10 64.15 111.73 340.03 0.26
44668.590972223 02 11 64.38 111.87 340.13 0.26
44668.591666668 02 12 64.60 112.01 340.23 0.26
44668.592361112 02 13 64.83 112.15 340.33 0.26
44668.593055557 02 14 65.05 112.29 340.46 0.25
44668.593750001 02 15 65.28 112.42 340.66 0.25
44668.594444446 02 16 65.50 112.56 340.87 0.25
44668.595138890 02 17 65.73 112.69 341.07 0.25
44668.595833335 02 18 65.95 112.82 341.27 0.25
44668.596527779 02 19 66.18 112.95 341.48 0.25
44668.597222223 02 20 66.40 113.08 341.68 0.25
44668.597916668 02 21 66.63 113.21 341.88 0.25
44668.598611112 02 22 66.85 113.34 342.09 0.25
44668.599305557 02 23 67.07 113.46 342.26 0.25
44668.600000001 02 24 67.30 113.59 342.36 0.25
44668.600694446 02 25 67.52 113.71 342.46 0.24
44668.601388890 02 26 67.75 113.83 342.56 0.24
44668.602083335 02 27 67.97 113.95 342.67 0.24
44668.602777779 02 28 68.20 114.07 342.86 0.24
44668.603472224 02 29 68.42 114.19 343.06 0.24
44668.604166668 02 30 68.65 114.31 343.26 0.24
44668.604861112 02 31 68.87 114.42 343.47 0.24
44668.605555557 02 32 69.10 114.54 343.63 0.24
44668.606250001 02 33 69.32 114.65 343.73 0.24
44668.606944446 02 34 69.54 114.76 343.83 0.24
